site,date,,bad_leaf_y,kbdi,avg_soil_y,soil_5_y,soil_25_y,soil_60_y,vpd,mean_leaf_y,leaf_y,lfm,mean_lfm,sd_lfm,max_wind,two_week_vpd,two_week_tmax,two_week_soil_5_y
mare,9/22/2017,,2.345,,1.509841,1.621004088,1.683631888,1.151343183,12.3,2.387266667,2.345,85.00049474,85.00049474,0.250544364,,8.35,85.53153846,0.699643706
mare,9/22/2017,,1.99,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,1.99,84.65081997,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.52,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.52,84.77050125,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.41,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.41,84.79856559,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.38,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.38,84.80047383,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.86,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.86,84.80182492,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.25,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.25,84.82877368,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.322,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.322,84.8298623,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,1.99,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,1.99,84.84519283,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.52,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.52,85.18977198,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.41,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.41,85.22392062,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.38,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.38,85.26082997,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.86,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.86,85.27929667,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.25,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.25,85.30966391,,,,8.35,85.53153846,0.699643706
mare,9/22/2017,,2.322,,1.509841,1.621004088,1.683631888,1.151343183,12.3,,2.322,85.41742884,,,,8.35,85.53153846,0.699643706
MARE,5/23/2018,,1.559,,0.081143,0.488534035,0.086144323,0.010442496,9.34,1.559,1.559,98.49489503,104.2837908,21.15070415,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.8,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.8,80.56574123,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.6,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.6,96.00240457,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.25,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.25,97.6874562,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.8,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.8,155.2864462,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.5,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.5,91.87690602,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.51,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.51,91.17512574,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.46,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.46,107.0916728,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.67,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.67,91.35424637,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.7,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.7,72.26960682,,,,7.168571429,82.88615385,0.057646862
MARE,5/23/2018,,1.3,,0.081143,0.488534035,0.086144323,0.010442496,9.34,,1.3,101.6393443,,,,7.168571429,82.88615385,0.057646862
MARE,6/22/2018,,1.52,,0.039545,0.146925103,0.01944607,0.011106585,7.69,1.52,1.52,99.43417533,99.43417533,10.23150272,,,,
MARE,6/22/2018,,1.8,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.8,92.59685462,,,,,,
MARE,6/22/2018,,1.6,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.6,101.7013233,,,,,,
MARE,6/22/2018,,1.5,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.5,103.8795599,,,,,,
MARE,6/22/2018,,1.4,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.4,105.3472649,,,,,,
MARE,6/22/2018,,1.7,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.7,89.82402448,,,,,,
MARE,6/22/2018,,1.6,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.6,105.7311194,,,,,,
MARE,6/22/2018,,1.4,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.4,118.3152521,,,,,,
MARE,6/22/2018,,1.4,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.4,106.2103929,,,,,,
MARE,6/22/2018,,1.4,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.4,83.12219044,,,,,,
MARE,6/22/2018,,1.4,,0.039545,0.146925103,0.01944607,0.011106585,7.69,,1.4,87.61377127,,,,,,
MARE,8/9/2018,,3.45,,0.144399,,,,11.41,2.278,3.45,96.39945147,96.39945147,8.63581999,,,,
MARE,8/9/2018,,2.93,,0.144399,,,,11.41,,2.93,97.89406509,,,,,,
MARE,8/9/2018,,2.46,,0.144399,,,,11.41,,2.46,96.38718473,,,,,,
MARE,8/9/2018,,2.39,,0.144399,,,,11.41,,2.39,102.8194361,,,,,,
MARE,8/9/2018,,2.78,,0.144399,,,,11.41,,2.78,77.50791975,,,,,,
MARE,8/9/2018,,1.35,,0.144399,,,,11.41,,1.35,100.4584152,,,,,,
MARE,8/9/2018,,1.06,,0.144399,,,,11.41,,1.06,103.2038173,,,,,,
MARE,8/9/2018,,1.41,,0.144399,,,,11.41,,1.41,93.26556544,,,,,,
MARE,8/9/2018,,2.12,,0.144399,,,,11.41,,2.12,107.8514339,,,,,,
MARE,8/9/2018,,2.83,,0.144399,,,,11.41,,2.83,88.20722563,,,,,,
COOK,4/29/2018,,1.63125,,0.027874,,,,11.45,1.66890625,1.63125,93.1027752,93.1027752,15.00470395,,,,
COOK,4/29/2018,,1.91,,0.027874,,,,11.45,,1.91,88.86156872,,,,,,
COOK,4/29/2018,,1.34,,0.027874,,,,11.45,,1.34,89.87125795,,,,,,
COOK,4/29/2018,,1.28,,0.027874,,,,11.45,,1.28,81.00829811,,,,,,
COOK,4/29/2018,,1.77,,0.027874,,,,11.45,,1.77,128.9089788,,,,,,
COOK,4/29/2018,,1.71,,0.027874,,,,11.45,,1.71,101.8876455,,,,,,
COOK,4/29/2018,,2.16,,0.027874,,,,11.45,,2.16,79.1239257,,,,,,
COOK,4/29/2018,,1.55,,0.027874,,,,11.45,,1.55,89.89969676,,,,,,
COOK,4/29/2018,,,,0.027874,,,,11.45,,1.34,85.26082997,,,,,,
COOK,6/1/2018,,1.19,,0.050516,,,,8.09,1.17,1.19,122.7420766,122.7420766,11.13206386,,,,
COOK,6/1/2018,,1.1,,0.050516,,,,8.09,,1.1,136.4799294,,,,,,
COOK,6/1/2018,,,,0.050516,,,,8.09,,1.4,109.3782929,,,,,,
COOK,6/1/2018,,1.41,,0.050516,,,,8.09,,1.41,105.2073589,,,,,,
COOK,6/1/2018,,1.6,,0.050516,,,,8.09,,1.6,118.8690842,,,,,,
COOK,6/1/2018,,1.1,,0.050516,,,,8.09,,1.1,122.0155969,,,,,,
COOK,6/1/2018,,1,,0.050516,,,,8.09,,1,110.8280255,,,,,,
COOK,6/1/2018,,1,,0.050516,,,,8.09,,1,133.0372395,,,,,,
COOK,6/1/2018,,1.1,,0.050516,,,,8.09,,1.1,136.1786996,,,,,,
COOK,6/1/2018,,0.8,,0.050516,,,,8.09,,0.8,121.754594,,,,,,
COOK,6/1/2018,,1.4,,0.050516,,,,8.09,,1.4,133.671945,,,,,,
COOK,7/6/2018,,2.14,,0.691096,,,,7.59,2.14,2.14,112.0109938,112.0109938,26.14777127,,,,
COOK,7/6/2018,,2,,0.691096,,,,7.59,,2,102.6812314,,,,,,
COOK,7/6/2018,,1.7,,0.691096,,,,7.59,,1.7,109.476662,,,,,,
COOK,7/6/2018,,2.3,,0.691096,,,,7.59,,2.3,133.9752407,,,,,,
COOK,7/6/2018,,2.3,,0.691096,,,,7.59,,2.3,87.87483703,,,,,,
COOK,7/6/2018,,2.4,,0.691096,,,,7.59,,2.4,101.8920813,,,,,,
COOK,7/6/2018,,2.2,,0.691096,,,,7.59,,2.2,109.0262971,,,,,,
COOK,7/6/2018,,2.3,,0.691096,,,,7.59,,2.3,119.7707736,,,,,,
COOK,7/6/2018,,2.2,,0.691096,,,,7.59,,2.2,153.8714992,,,,,,
COOK,7/6/2018,,2.1,,0.691096,,,,7.59,,2.1,76.51598677,,,,,,
COOK,7/6/2018,,1.9,,0.691096,,,,7.59,,1.9,125.0253293,,,,,,
,,,3.217,,1.369292,,,,14.62,3.233363636,3.217,54.71529666,66.51019018,12.40215942,,,,
,,,2.89,,1.369292,,,,14.62,,2.89,50.89521573,,,,,,
,,,3.01,,1.369292,,,,14.62,,3.01,71.96525,,,,,,
,,,4.19,,1.369292,,,,14.62,,4.19,62.254,,,,,,
,,,2.79,,1.369292,,,,14.62,,2.79,55.3569,,,,,,
,,,2.48,,1.369292,,,,14.62,,2.48,59.25985,,,,,,
,,,4.98,,1.369292,,,,14.62,,4.98,59.69738652,,,,,,
,,,2.59,,1.369292,,,,14.62,,2.59,89.51521984,,,,,,
,,,3.68,,1.369292,,,,14.62,,3.68,69.91869919,,,,,,
,,,3.1,,1.369292,,,,14.62,,3.1,82.90567402,,,,,,
,,,2.64,,1.369292,,,,14.62,,2.64,75.1286,,,,,,
MARE,,,1.28889,,1.489,0.023274492,0.022560812,0.042285129,5.51,1.288889,1.28889,85.98715966,85.98715966,6.174314398,,,,
MARE,,,1.28,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.28,81.17522585,,,,,,
MARE,,,1.12,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.12,87.19413254,,,,,,
MARE,,,1.1,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.1,83.15957547,,,,,,
MARE,,,1.28,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.28,72.18101446,,,,,,
MARE,,,1.54,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.54,90.45713082,,,,,,
MARE,,,1.42,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.42,93.87020004,,,,,,
MARE,,,1.28,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.28,90.83315331,,,,,,
MARE,,,1.25,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.25,89.70434053,,,,,,
MARE,,,1.33,,1.489,0.023274492,0.022560812,0.042285129,5.51,,1.33,85.30966391,,,,,,
WOOD,3/4/2018,,2.16667,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,2.193889167,2.16667,86.54406955,86.54406955,21.50122389,,,,
WOOD,3/4/2018,,2.47,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.47,70.96774194,,,,,,
WOOD,3/4/2018,,2.09,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.09,80.53193809,,,,,,
WOOD,3/4/2018,,2.45,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.45,84.80182492,,,,,,
WOOD,3/4/2018,,1.92,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,1.92,130.8103088,,,,,,
WOOD,3/4/2018,,1.92,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,1.92,130.8103088,,,,,,
WOOD,3/4/2018,,2.21,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.21,84.572697,,,,,,
WOOD,3/4/2018,,2.2,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.2,77.19709398,,,,,,
WOOD,3/4/2018,,2.12,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.12,66.05040551,,,,,,
WOOD,3/4/2018,,2.12,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.12,74.41794836,,,,,,
WOOD,3/4/2018,,2.21,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.21,75.62125653,,,,,,
WOOD,3/4/2018,,2.45,145.6271,1.256432,0.036267959,0.024378988,0.045448691,4.37,,2.45,76.20324114,,,,,,
WOOD,4/15/2018,,2.3334,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,2.326352381,2.3334,77.32297827,77.32297827,13.77630921,,,,
WOOD,4/15/2018,,2.02,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.02,72.43512708,,,,,,
WOOD,4/15/2018,,1.84,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,1.84,75.81057182,,,,,,
WOOD,4/15/2018,,1.94,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,1.94,75.72786909,,,,,,
WOOD,4/15/2018,,1.46,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,1.46,82.67071833,,,,,,
WOOD,4/15/2018,,1.57,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,1.57,79.97060505,,,,,,
WOOD,4/15/2018,,2.51,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.51,72.43512708,,,,,,
WOOD,4/15/2018,,1.72,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,1.72,75.81057182,,,,,,
WOOD,4/15/2018,,1.51,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,1.51,75.72786909,,,,,,
WOOD,4/15/2018,,2.25,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.25,82.67071833,,,,,,
WOOD,4/15/2018,,2.16,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.16,79.97060505,,,,,,
WOOD,4/15/2018,,3.67,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,3.67,66.63091088,,,,,,
WOOD,4/15/2018,,2.4,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.4,76.72439096,,,,,,
WOOD,4/15/2018,,3.62,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,3.62,63.70839937,,,,,,
WOOD,4/15/2018,,3.32,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,3.32,62.61409617,,,,,,
WOOD,4/15/2018,,2.24,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.24,56.51353052,,,,,,
WOOD,4/15/2018,,3.26,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,3.26,60.33456832,,,,,,
WOOD,4/15/2018,,2.4,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.4,24.33739601,,,,,,
WOOD,4/15/2018,,2.19,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.19,65.71186571,,,,,,
WOOD,4/15/2018,,2.2,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.2,58.57412516,,,,,,
WOOD,4/15/2018,,2.24,106.1144988,1.771032,0.047039054,0.017220711,0.027227486,7.93,,2.24,48.10126582,,,,,,
WOOD,5/25/2018,,1.9418,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,1.9418,1.9418,,68.99694924,12.38560107,,,,
WOOD,5/25/2018,,1.35,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,1.35,46.67228307,,,,,,
WOOD,5/25/2018,,1.8,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,1.8,75.93623968,,,,,,
WOOD,5/25/2018,,2.033,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,2.033,80.94925921,,,,,,
WOOD,5/25/2018,,1.93,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,1.93,64.87021993,,,,,,
WOOD,5/25/2018,,2,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,2,53.30713818,,,,,,
WOOD,5/25/2018,,2.3,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,2.3,83.08755148,,,,,,
WOOD,5/25/2018,,2.4,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,2.4,68.76025311,,,,,,
WOOD,5/25/2018,,2.065,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,2.065,61.02062975,,,,,,
WOOD,5/25/2018,,1.45,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,1.45,62.91941497,,,,,,
WOOD,5/25/2018,,2.09,329.3109528,0.698023,0.004700483,0.008921794,0.021495026,11.32,,2.09,80.91975027,,,,,,
WOOD,6/27/2018,,1.60667,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.60667,69.75230585,70.27769954,4.106153023,,,,
WOOD,6/27/2018,,1.69,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.69,74.4808491,,,,,,
WOOD,6/27/2018,,1.78,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.78,69.02423052,,,,,,
WOOD,6/27/2018,,1.61,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.61,76.76317743,,,,,,
WOOD,6/27/2018,,1.72,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.72,69.25730888,,,,,,
WOOD,6/27/2018,,1.5,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.5,67.00397542,,,,,,
WOOD,6/27/2018,,1.34,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.34,73.50263536,,,,,,
WOOD,6/27/2018,,1.74,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.74,69.55214908,,,,,,
WOOD,6/27/2018,,1.73,458.7354214,0.010126,1.568188269,0.186408178,0.042091274,11.32,,1.73,63.16266425,,,,,,
WOOD,8/16/2018,,1.901,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,1.901,1.901,101.2023632,101.2023632,12.81109173,,,,
WOOD,8/16/2018,,2.12,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.12,116.1322151,,,,,,
WOOD,8/16/2018,,2.26,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.26,102.9768467,,,,,,
WOOD,8/16/2018,,2.31,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.31,94.88037684,,,,,,
WOOD,8/16/2018,,2.42,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.42,97.66210851,,,,,,
WOOD,8/16/2018,,2.52,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.52,88.46553516,,,,,,
WOOD,8/16/2018,,2.32,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.32,104.7343275,,,,,,
WOOD,8/16/2018,,2.28,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.28,110.2617366,,,,,,
WOOD,8/16/2018,,2.14,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.14,100.3129709,,,,,,
WOOD,8/16/2018,,2.32,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.32,112.0933698,,,,,,
WOOD,8/16/2018,,2.25,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.25,,,,,,,
WOOD,8/16/2018,,2.14,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.14,,,,,,,
WOOD,8/16/2018,,1.01,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.01,116.1322151,,,,,,
WOOD,8/16/2018,,1.18,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.18,102.9768467,,,,,,
WOOD,8/16/2018,,1.43,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.43,94.88037684,,,,,,
WOOD,8/16/2018,,2.81,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,2.81,77,,,,,,
WOOD,8/16/2018,,1.4,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.4,88.46553516,,,,,,
WOOD,8/16/2018,,1.23,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.23,92,,,,,,
WOOD,8/16/2018,,1.39,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.39,110.2617366,,,,,,
WOOD,8/16/2018,,1.21,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.21,100.3129709,,,,,,
WOOD,8/16/2018,,1.28,318.911797,0.099354,0.011315768,0.009585028,1.772863819,10.46,,1.28,112.0933698,,,,,,
WOOD,8/16/2018,,2.25,318.911797,0.099354,,,,10.46,2.673,2.25,110,91.14954578,10.47538576,,,,
WOOD,8/16/2018,,3.53,318.911797,0.099354,,,,10.46,,3.53,115,,,,,,
WOOD,8/16/2018,,2.16,318.911797,0.099354,,,,10.46,,2.16,94.88037684,,,,,,
WOOD,8/16/2018,,4.85,318.911797,0.099354,,,,10.46,,4.85,67,,,,,,
WOOD,8/16/2018,,2.47,318.911797,0.099354,,,,10.46,,2.47,88.46553516,,,,,,
WOOD,8/16/2018,,2.09,318.911797,0.099354,,,,10.46,,2.09,85,,,,,,
WOOD,8/16/2018,,2.45,318.911797,0.099354,,,,10.46,,2.45,99,,,,,,
WOOD,8/16/2018,,2.47,318.911797,0.099354,,,,10.46,,2.47,79,,,,,,
WOOD,8/16/2018,,2.04,318.911797,0.099354,,,,10.46,,2.04,82,,,,,,
WOOD,8/16/2018,,2.42,318.911797,0.099354,,,,10.46,,2.42,,,,,,,
COOK,,,,,1.8865265,,,,15.61,,4.19,72.91090205,63.76184394,6.223491985,,,,
COOK,,,,,1.8865265,,,,15.61,,3.01,71.65382336,,,,,,
COOK,,,,,1.8865265,,,,15.61,,2.79,55.26927138,,,,,,
COOK,,,,,1.8865265,,,,15.61,,2.48,59.25811437,,,,,,
COOK,,,,,1.8865265,,,,15.61,,2.89,60.89521573,,,,,,
COOK,,,,,1.8865265,,,,15.61,,4.98,69.69738652,,,,,,
COOK,,,,,1.8865265,,,,15.61,,3.1,65.12866016,,,,,,
COOK,,,,,1.8865265,,,,15.61,,3.68,59.91869919,,,,,,
COOK,,,,,1.8865265,,,,15.61,,2.1,56.51598677,,,,,,
COOK,,,,,1.8865265,,,,15.61,,1.71,69.1239257,,,,,,
COOK,,,,,1.8865265,,,,15.61,,1.34,61.00829811,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.18,81.77446372,78.65814174,3.988289939,,,,
COOK,,,,,1.369292,,,,14.62,,2.21,72.27049755,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.46,72.90567402,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.25,74.80047383,,,,,,
COOK,,,,,1.369292,,,,14.62,,1.55,85.26082997,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.3,77.87483703,,,,,,
COOK,,,,,1.369292,,,,14.62,,1.34,78.86156872,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.59,79.51521984,,,,,,
COOK,,,,,1.369292,,,,14.62,,1.9,79.87125795,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.16,79.89969676,,,,,,
COOK,,,,,1.369292,,,,14.62,,0.982,82.20503975,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,106.4290711,106.4290711,8.424022422,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,103.1151365,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,99.7115598,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,127.3031126,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,126.9157349,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,112.1933557,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.6620633,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,105.3001375,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.9796373,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,110.1650582,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.4466132,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.2065353,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,107.5065185,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,101.428988,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.1487946,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,104.6724922,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,99.20503975,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,109.0689627,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,117.0525468,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,103.5277178,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,107.3657124,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,102.048866,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,112.7747859,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,109.8044101,,,,,,
